developer_name,project,nbr_stars
Vision-CAIR,MiniGPT-4,"2,782"
microsoft,semantic-kernel,318
dzoba,gptrpg,33
facebookresearch,dinov2,650
houseofsecrets,SdPaint,279
muellerberndt,micro-gpt,435
pashpashpash,vault-ai,82
togethercomputer,RedPajama-Data,233
StanfordBDHG,HealthGPT,249
kaqijiang,Auto-GPT-ZH,59
haotian-liu,LLaVA,191
OpenBB-finance,OpenBBTerminal,292
xcanwin,KeepChatGPT,719
zilliztech,GPTCache,328
yoavbls,pretty-ts-errors,"1,110"
LAION-AI,Open-Assistant,705
mouredev,Hello-Python,112
liou666,polyglot,208
ashawkey,stable-dreamfusion,55
prometheus,prometheus,39
hossein-mohseni,CF-Web,11
mayooear,gpt4-pdf-chatbot-langchain,204
devfullcycle,fclx,9
shilomagen,passport-extension,9
xtekky,gpt4free,55
